D.O.A,Admissions
2017-01-04,29
2017-01-05,28
2017-01-06,21
2017-01-07,11
2017-01-08,25
2017-01-09,18
2017-01-10,15
2017-01-11,22
2017-01-12,18
2017-02-04,13
2017-02-05,14
2017-02-06,18
2017-02-07,18
2017-02-08,20
2017-02-09,18
2017-02-10,23
2017-02-11,27
2017-02-12,25
2017-03-04,26
2017-03-05,15
2017-03-06,27
2017-03-07,21
2017-03-08,18
2017-03-09,7
2017-03-10,19
2017-03-11,18
2017-03-12,24
2017-04-01,1
2017-04-02,2
2017-04-04,20
2017-04-05,19
2017-04-06,20
2017-04-07,26
2017-04-08,25
2017-04-09,23
2017-04-10,31
2017-04-11,20
2017-04-12,19
2017-04-13,11
2017-04-14,8
2017-04-15,7
2017-04-16,5
2017-04-17,5
2017-04-18,5
2017-04-19,8
2017-04-20,21
2017-04-21,16
2017-04-22,32
2017-04-23,17
2017-04-24,39
2017-04-25,26
2017-04-26,27
2017-04-27,33
2017-04-28,27
2017-04-29,20
2017-04-30,19
2017-05-04,7
2017-05-05,23
2017-05-06,36
2017-05-07,27
2017-05-08,20
2017-05-09,21
2017-05-10,21
2017-05-11,15
2017-05-12,30
2017-05-13,20
2017-05-14,16
2017-05-15,30
2017-05-16,18
2017-05-17,26
2017-05-18,20
2017-05-19,18
2017-05-20,15
2017-05-21,16
2017-05-22,18
2017-05-23,24
2017-05-24,27
2017-05-25,20
2017-05-26,14
2017-05-27,18
2017-05-28,14
2017-05-29,15
2017-05-30,21
2017-05-31,9
2017-06-04,11
2017-06-05,16
2017-06-06,24
2017-06-07,21
2017-06-08,21
2017-06-09,24
2017-06-10,19
2017-06-11,29
2017-06-12,14
2017-06-13,22
2017-06-14,21
2017-06-15,17
2017-06-16,17
2017-06-17,17
2017-06-18,15
2017-06-19,21
2017-06-20,23
2017-06-21,18
2017-06-22,19
2017-06-23,21
2017-06-24,32
2017-06-25,14
2017-06-26,25
2017-06-27,15
2017-06-28,18
2017-06-29,18
2017-06-30,16
2017-07-04,6
2017-07-05,23
2017-07-06,23
2017-07-07,25
2017-07-08,18
2017-07-09,13
2017-07-10,27
2017-07-11,20
2017-07-12,22
2017-07-13,17
2017-07-14,19
2017-07-15,12
2017-07-16,10
2017-07-17,30
2017-07-18,26
2017-07-19,17
2017-07-20,20
2017-07-21,16
2017-07-22,17
2017-07-23,11
2017-07-24,27
2017-07-25,16
2017-07-26,26
2017-07-27,20
2017-07-28,18
2017-07-29,11
2017-07-30,18
2017-07-31,19
2017-08-04,11
2017-08-05,24
2017-08-06,25
2017-08-07,19
2017-08-08,23
2017-08-09,18
2017-08-10,18
2017-08-11,22
2017-08-12,20
2017-08-13,11
2017-08-14,13
2017-08-15,9
2017-08-16,14
2017-08-17,18
2017-08-18,6
2017-08-19,6
2017-08-20,9
2017-08-21,27
2017-08-22,22
2017-08-23,24
2017-08-24,32
2017-08-25,22
2017-08-26,19
2017-08-27,15
2017-08-28,22
2017-08-29,18
2017-08-30,26
2017-08-31,24
2017-09-04,8
2017-09-05,25
2017-09-06,13
2017-09-07,12
2017-09-08,5
2017-09-09,20
2017-09-10,19
2017-09-11,19
2017-09-12,14
2017-09-13,24
2017-09-14,24
2017-09-15,27
2017-09-16,20
2017-09-17,11
2017-09-18,26
2017-09-19,23
2017-09-20,17
2017-09-21,18
2017-09-22,21
2017-09-23,18
2017-09-24,12
2017-09-25,37
2017-09-26,24
2017-09-27,22
2017-09-28,20
2017-09-29,13
2017-09-30,12
2017-10-01,2
2017-10-02,5
2017-10-03,8
2017-10-04,9
2017-10-05,25
2017-10-06,24
2017-10-07,31
2017-10-08,4
2017-10-09,15
2017-10-10,22
2017-10-11,31
2017-10-12,20
2017-10-13,17
2017-10-14,19
2017-10-15,15
2017-10-16,22
2017-10-17,15
2017-10-18,10
2017-10-19,6
2017-10-20,18
2017-10-21,9
2017-10-22,11
2017-10-23,16
2017-10-24,21
2017-10-25,18
2017-10-26,25
2017-10-27,19
2017-10-28,24
2017-10-29,17
2017-10-30,32
2017-10-31,38
2017-11-01,2
2017-11-02,2
2017-11-03,8
2017-11-04,16
2017-11-05,18
2017-11-06,25
2017-11-07,28
2017-11-08,11
2017-11-09,34
2017-11-10,18
2017-11-11,24
2017-11-12,18
2017-11-13,36
2017-11-14,19
2017-11-15,29
2017-11-16,23
2017-11-17,27
2017-11-18,24
2017-11-19,14
2017-11-20,32
2017-11-21,23
2017-11-22,23
2017-11-23,27
2017-11-24,28
2017-11-25,23
2017-11-26,13
2017-11-27,21
2017-11-28,32
2017-11-29,27
2017-11-30,29
2017-12-01,11
2017-12-02,9
2017-12-03,7
2017-12-04,20
2017-12-05,25
2017-12-06,15
